,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Calbuco,CL,-41.768,-73.1273,53.74,70,0,16.11,clear sky
348,Sibolga,ID,1.7427,98.7792,75.79,89,100,1.52,overcast clouds
349,Port Augusta,AU,-32.5,137.7667,71.71,45,73,5.39,broken clouds
350,Ulladulla,AU,-35.35,150.4667,64.87,94,93,6.06,overcast clouds
351,Bandarbeyla,SO,9.4942,50.8122,77.5,74,2,11.12,clear sky
352,Merano,IT,46.6682,11.1595,45.27,75,13,7.02,few clouds
353,Torbat-e Jām,IR,35.244,60.6225,32.74,25,25,7.9,scattered clouds
354,Edgewater,US,28.9889,-80.9023,74.14,94,90,13.8,moderate rain
355,Pervomayskiy,RU,53.2485,40.2871,48.13,88,100,18.59,overcast clouds
356,Doha,QA,25.2867,51.5333,80.58,74,0,6.91,clear sky
357,Bonavista,CA,48.6499,-53.1147,41.11,68,100,3.71,overcast clouds
358,Itoman,JP,26.1247,127.6694,77.02,65,75,16.11,broken clouds
359,Mount Gambier,AU,-37.8333,140.7667,66.11,48,100,9.48,light rain
360,Rundu,NA,-17.9333,19.7667,76.59,51,100,6.98,overcast clouds
361,Dikson,RU,73.5069,80.5464,17.35,84,100,17.94,overcast clouds
362,Padang,ID,-0.9492,100.3543,75.92,87,100,4.03,moderate rain
363,Vila,PT,42.0304,-8.1588,43.32,83,23,6.44,few clouds
364,Galle,LK,6.0367,80.217,78.57,84,88,8.95,overcast clouds
365,Nizhniy Ingash,RU,56.2,96.53,21.67,69,100,15.39,overcast clouds
366,Terrace Bay,CA,48.7834,-87.1,49.62,79,100,18.14,overcast clouds
367,Karratha,AU,-20.7377,116.8463,78.08,62,11,10.54,light rain
368,Bauchi,NG,10.5,10.0,78.55,27,58,4.65,broken clouds
369,Rodeo,US,38.033,-122.2669,68.02,63,1,1.99,clear sky
370,Kumul,CN,42.8,93.45,17.01,67,22,8.12,few clouds
371,Ilulissat,GL,69.2167,-51.1,23.02,58,75,1.14,broken clouds
372,Cairns,AU,-16.9167,145.7667,72.07,93,40,5.75,scattered clouds
373,Ørje,NO,59.4802,11.6602,42.04,80,4,3.78,clear sky
374,Blora,ID,-6.9698,111.4186,77.23,81,94,3.15,overcast clouds
375,Kununurra,AU,-15.7667,128.7333,78.78,78,80,5.75,broken clouds
376,Leh,IN,34.1667,77.5833,23.74,91,83,3.6,broken clouds
377,Maputo,MZ,-25.9653,32.5892,73.08,94,75,10.0,moderate rain
378,Salalah,OM,17.0151,54.0924,78.89,73,20,5.75,few clouds
379,Bah,IN,26.87,78.5975,68.54,44,97,4.09,overcast clouds
380,Pacific Grove,US,36.6177,-121.9166,69.42,74,1,1.01,clear sky
381,Portland,US,45.5234,-122.6762,56.73,80,40,1.01,scattered clouds
382,Nedumangād,IN,8.6,77.0,79.88,83,40,2.3,mist
383,San Isidro,PE,-12.1167,-77.05,69.39,72,40,3.0,scattered clouds
384,Namatanai,PG,-3.6667,152.4333,79.05,78,21,8.59,light rain
385,Manavgat,TR,36.7867,31.4431,61.21,46,97,2.59,light rain
386,Safi,MA,32.2994,-9.2372,62.4,54,0,24.9,clear sky
387,Urengoy,RU,65.9667,78.3667,6.21,98,48,5.48,scattered clouds
388,Omsukchan,RU,62.5333,155.8,2.28,99,70,8.01,broken clouds
389,Buraidah,SA,26.326,43.975,72.05,39,0,8.16,clear sky
390,Caravelas,BR,-17.7125,-39.2481,77.95,78,61,8.39,broken clouds
391,Erenhot,CN,43.6475,111.9767,15.44,92,100,17.0,light snow
392,Longyearbyen,SJ,78.2186,15.6401,12.04,73,75,6.91,broken clouds
393,Izumo,JP,35.3667,132.7667,48.15,81,73,4.25,broken clouds
394,Trelew,AR,-43.249,-65.3051,63.9,31,0,15.32,clear sky
395,Delta del Tigre,UY,-34.7633,-56.3853,62.2,59,90,10.0,overcast clouds
396,Sabha,LY,27.0377,14.4283,76.59,21,0,10.09,clear sky
397,Acaraú,BR,-2.8856,-40.12,82.72,74,100,15.14,overcast clouds
398,Yar-Sale,RU,66.8333,70.8333,14.23,95,84,5.06,broken clouds
399,Jacareacanga,BR,-6.2222,-57.7528,92.46,44,83,5.32,broken clouds
400,Ubari,LY,26.5921,12.7805,77.04,18,0,10.04,clear sky
401,Praia da Vitória,PT,38.7333,-27.0667,70.05,88,40,23.44,scattered clouds
402,Ahipara,NZ,-35.1667,173.1667,61.83,88,8,3.74,clear sky
403,Gurupi,BR,-11.7292,-49.0686,77.58,81,100,3.83,overcast clouds
404,Saryg-Sep,RU,51.5,95.6,0.01,81,100,2.57,overcast clouds
405,Waddān,LY,29.1614,16.139,77.7,23,7,10.49,clear sky
406,Baykit,RU,61.67,96.37,17.33,94,100,8.3,light snow
407,Syava,RU,58.0146,46.3222,45.91,89,100,14.92,moderate rain
408,Fort Nelson,CA,58.8053,-122.7002,31.59,100,90,4.61,light snow
409,Palmer,US,42.1584,-72.3287,52.03,37,20,1.99,few clouds
410,Athabasca,CA,54.7169,-113.2854,46.09,79,100,8.81,overcast clouds
411,Pāvilosta,LV,56.8879,21.1859,46.31,69,100,17.25,overcast clouds
412,Fukuechō,JP,32.6881,128.8419,67.77,55,100,10.54,light rain
413,Beringovskiy,RU,63.05,179.3167,-0.13,83,96,4.83,overcast clouds
414,Kilindoni,TZ,-7.9139,39.6668,79.05,78,7,10.78,clear sky
415,Aryanah,TN,36.8601,10.1934,64.27,72,40,6.91,scattered clouds
416,Grande Prairie,CA,55.1667,-118.8027,33.98,100,90,6.91,fog
417,Okha,RU,53.5739,142.9478,33.04,85,100,12.15,overcast clouds
418,Hauterive,FR,46.0901,3.4459,46.18,93,99,3.8,overcast clouds
419,Sioux Lookout,CA,50.1001,-91.917,53.67,58,20,12.66,few clouds
420,Fomboni,KM,-12.28,43.7425,80.64,74,56,6.13,broken clouds
421,Iquique,CL,-20.2208,-70.1431,68.04,66,7,7.87,clear sky
422,Celestún,MX,20.8667,-90.4,80.33,64,22,15.01,few clouds
423,Ugoofaaru,MV,5.6667,73.0,82.02,79,100,14.5,moderate rain
424,Synya,RU,65.3718,58.0387,34.97,99,100,9.66,light rain
425,Bambari,CF,5.768,20.6757,74.12,79,68,3.65,light rain
426,Rocha,UY,-34.4833,-54.3333,58.5,65,100,18.12,light rain
427,Wajima,JP,37.4,136.9,58.06,64,57,9.86,broken clouds
428,Taoudenni,ML,22.6783,-3.9836,83.43,19,13,8.9,few clouds
429,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,73.72,69,78,17.87,broken clouds
430,Bac Lieu,VN,9.285,105.7244,78.51,88,97,6.96,moderate rain
431,Semenyih,MY,2.9516,101.843,77.18,92,100,1.52,overcast clouds
432,Pandamatenga,BW,-18.5278,25.627,75.11,47,100,3.15,overcast clouds
433,Makarov,RU,48.6333,142.8,37.8,75,5,4.43,clear sky
434,Linqing,CN,36.8456,115.7117,58.82,77,100,2.15,overcast clouds
435,Moose Factory,CA,51.2585,-80.6094,48.2,66,1,11.5,clear sky
436,Aykhal,RU,66.0,111.5,3.51,92,9,13.2,clear sky
437,Lagoa,PT,39.05,-27.9833,67.41,89,100,28.77,light rain
438,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.39,79,20,11.18,few clouds
439,Fairbanks,US,64.8378,-147.7164,27.91,80,1,0.0,clear sky
440,Zhangye,CN,38.9342,100.4517,16.2,86,100,12.97,light snow
441,Upata,VE,8.0086,-62.3989,87.19,59,100,4.94,overcast clouds
442,Guozhen,CN,34.3659,107.359,47.53,65,100,9.82,overcast clouds
443,Chumikan,RU,54.7183,135.315,31.77,77,100,17.38,overcast clouds
444,Malartic,CA,48.1335,-78.1328,46.22,64,78,11.25,broken clouds
445,Kemijärvi,FI,66.7131,27.4306,34.16,99,100,2.68,light snow
446,Presque Isle,US,46.6811,-68.0159,40.17,44,75,4.61,broken clouds
447,Ancud,CL,-41.8697,-73.8203,60.33,56,0,6.22,clear sky
448,Wattegama,LK,6.7989,81.4808,74.3,92,98,1.5,overcast clouds
449,Grants,US,35.1473,-107.8514,68.23,15,1,8.05,clear sky
450,Palomares,MX,17.15,-95.0667,75.47,88,50,13.71,scattered clouds
451,Paoua,CF,7.2427,16.4406,71.8,87,48,3.42,moderate rain
452,Canyon Lake,US,29.8752,-98.2625,65.32,63,0,1.99,clear sky
453,Santa Maria,BR,-29.6842,-53.8069,83.5,54,40,8.05,scattered clouds
454,Chaiya,TH,9.3862,99.1986,79.12,85,100,2.51,overcast clouds
455,Pareora,NZ,-44.4871,171.2132,50.86,84,66,5.95,broken clouds
456,Boyolangu,ID,-8.1181,111.8935,76.69,90,99,0.96,overcast clouds
457,Bay Roberts,CA,47.5999,-53.2648,42.51,77,100,3.49,light rain
458,Gerede,TR,40.8008,32.1969,48.6,45,6,3.96,clear sky
459,Gombong,ID,-7.6072,109.5142,77.83,91,87,2.24,overcast clouds
460,La Carlota,PH,10.4233,122.9208,76.62,87,91,3.58,overcast clouds
461,Sai Buri,TH,6.7013,101.6168,77.23,89,100,4.23,overcast clouds
462,Kāvali,IN,14.9167,79.9833,76.64,89,100,5.99,overcast clouds
463,Itarema,BR,-2.9248,-39.9167,82.44,74,100,14.52,overcast clouds
464,Ust-Kuyga,RU,70.0167,135.6,-7.44,100,88,8.37,overcast clouds
465,Hukuntsi,BW,-24.0,21.75,84.83,13,53,8.52,broken clouds
466,Alghero,IT,40.5589,8.3181,55.49,88,0,8.05,clear sky
467,Bubaque,GW,11.2833,-15.8333,83.7,74,76,9.6,broken clouds
468,Freeport,US,40.6576,-73.5832,55.44,40,1,3.0,clear sky
469,Coahuayana Viejo,MX,18.7333,-103.6833,88.68,56,20,6.35,few clouds
470,Dudinka,RU,69.4058,86.1778,-11.15,100,98,2.26,overcast clouds
471,Pangnirtung,CA,66.1451,-65.7125,24.8,54,75,10.36,broken clouds
472,Leningradskiy,RU,69.3833,178.4167,-4.94,97,98,5.77,overcast clouds
473,Shiraz,IR,29.6036,52.5388,45.84,93,20,0.0,few clouds
474,Chichimila,MX,20.6167,-88.2167,81.07,60,100,4.07,overcast clouds
475,Darien,US,41.752,-87.974,53.85,48,20,4.0,few clouds
476,Tabuk,PH,17.4189,121.4443,73.56,93,21,3.2,few clouds
477,Chicama,PE,-7.8447,-79.1469,64.94,63,84,11.03,broken clouds
478,Dali,CN,25.7,100.1833,46.74,76,9,4.09,clear sky
479,Qasigiannguit,GL,68.8193,-51.1922,23.25,73,11,7.34,few clouds
480,Mandalgovi,MN,45.7625,106.2708,7.12,45,99,11.88,overcast clouds
481,Sisimiut,GL,66.9395,-53.6735,19.4,67,68,11.86,broken clouds
482,Saint-Félicien,CA,48.6501,-72.4491,41.68,52,75,12.66,broken clouds
483,Naze,JP,28.3667,129.4833,63.7,88,100,13.4,heavy intensity rain
484,Lima,PE,-12.0432,-77.0282,68.25,68,40,6.91,scattered clouds
485,Mossamedes,AO,-15.1961,12.1522,68.5,75,91,4.32,overcast clouds
486,Shingū,JP,33.7333,135.9833,53.62,71,55,5.53,broken clouds
487,Hadejia,NG,12.4498,10.0444,84.38,15,96,9.53,overcast clouds
488,Sur,OM,22.5667,59.5289,76.21,60,56,6.24,broken clouds
489,Floriano,BR,-6.7669,-43.0225,87.12,53,98,2.21,overcast clouds
490,Nortelândia,BR,-14.4547,-56.8028,79.41,82,100,2.13,light rain
491,Westport,US,41.1415,-73.3579,53.94,41,1,5.99,clear sky
492,Tessalit,ML,20.1986,1.0114,86.43,13,0,6.42,clear sky
493,Kargasok,RU,59.0556,80.8572,29.3,90,100,14.09,overcast clouds
494,Santa Cruz de la Sierra,BO,-17.8,-63.1667,87.85,58,75,14.97,broken clouds
495,Boueni,YT,-12.9025,45.0761,80.58,77,20,9.15,few clouds
496,Heinola,FI,61.2056,26.0381,39.29,88,100,9.01,overcast clouds
497,Tall Kayf,TR,37.0833,41.0667,66.54,39,0,7.2,clear sky
498,Gazli,UZ,40.1333,63.45,32.79,40,0,10.49,clear sky
499,Vardø,NO,70.3705,31.1107,35.58,93,75,16.11,sleet
500,Riyadh,SA,24.6877,46.7219,69.94,35,0,5.21,clear sky
501,Olavarría,AR,-36.8927,-60.3225,66.02,33,100,15.14,overcast clouds
502,Oranjestad,AW,12.524,-70.027,85.95,70,20,19.57,few clouds
503,Maniitsoq,GL,65.4167,-52.9,25.41,56,100,8.48,overcast clouds
504,São Raimundo Nonato,BR,-9.0153,-42.6994,85.57,51,78,3.44,broken clouds
505,Salmon Creek,US,45.7107,-122.649,56.25,78,1,1.01,clear sky
506,At-Bashi,KG,41.1702,75.8106,13.82,64,0,5.37,clear sky
507,Vigrestad,NO,58.5667,5.7,50.0,79,100,21.43,overcast clouds
508,Solnechnyy,RU,50.7214,136.6319,33.57,88,100,6.78,overcast clouds
509,Port Hedland,AU,-20.3167,118.5667,77.05,78,33,10.36,scattered clouds
510,Alta Floresta,BR,-9.8756,-56.0861,89.42,62,40,4.61,scattered clouds
511,Hergla,TN,36.0303,10.509,67.86,72,20,5.75,few clouds
512,Manthani,IN,18.65,79.6667,71.69,64,62,4.88,broken clouds
513,Strezhevoy,RU,60.7333,77.5889,31.98,93,99,13.31,overcast clouds
514,Beloha,MG,-25.1667,45.05,66.96,73,0,13.18,clear sky
515,Touros,BR,-5.1989,-35.4608,83.3,74,37,9.51,scattered clouds
516,Ulaangom,MN,49.9811,92.0667,11.77,66,97,0.92,overcast clouds
517,Sawtell,AU,-30.3833,153.1,63.19,88,90,0.0,overcast clouds
518,El Salvador,SV,13.8333,-88.9167,84.24,60,98,2.21,overcast clouds
519,Paka,MY,4.6374,103.4368,75.13,94,96,0.0,overcast clouds
520,Alice Springs,AU,-23.7,133.8833,72.95,78,17,0.0,few clouds
521,Machachi,EC,-0.5,-78.5667,62.1,95,100,3.36,light rain
522,Rørvik,NO,64.8621,11.2373,39.31,81,40,12.66,light rain
523,Mehamn,NO,71.0357,27.8492,35.78,96,100,13.27,light rain
524,Atherton,GB,53.5237,-2.4935,52.16,93,99,1.99,overcast clouds
525,Nantucket,US,41.2835,-70.0995,48.31,68,63,19.75,broken clouds
526,Carballo,ES,43.213,-8.691,53.87,84,87,7.0,overcast clouds
527,Tres Arroyos,AR,-38.3739,-60.2798,64.53,22,85,15.23,overcast clouds
528,Manaure,CO,11.7751,-72.4445,88.84,54,98,16.49,overcast clouds
529,Kerūr,IN,16.0167,75.5667,75.24,71,100,10.0,overcast clouds
530,Invermere,CA,50.5167,-116.0354,46.22,76,96,8.75,overcast clouds
531,Loandjili,CG,-4.7561,11.8578,78.42,83,100,7.0,overcast clouds
532,Korla,CN,41.7597,86.1469,25.3,42,0,6.85,clear sky
533,Holme,DK,56.1138,10.1725,48.06,83,100,16.11,overcast clouds
534,Augustów,PL,53.8432,22.9798,45.05,85,100,11.83,overcast clouds
535,Carbonear,CA,47.7332,-53.2148,42.6,65,100,2.71,overcast clouds
536,Pindiga,NG,9.9833,10.9333,82.2,36,25,1.45,scattered clouds
537,Fuyang,CN,32.9,115.8167,59.52,94,82,6.13,broken clouds
538,Banda Aceh,ID,5.5577,95.3222,77.4,89,100,7.47,overcast clouds
539,Puerto El Triunfo,SV,13.2833,-88.55,92.32,68,77,7.63,broken clouds
540,Fort Morgan,US,40.2503,-103.8,77.81,11,1,9.22,clear sky
541,Sistranda,NO,63.7256,8.834,42.91,68,100,29.55,overcast clouds
542,Bonfim,BR,3.0833,-59.95,90.5,45,95,9.26,overcast clouds
543,Nishihara,JP,26.1842,127.7558,76.28,65,75,16.11,broken clouds
544,Mountain Home,US,43.133,-115.6912,62.94,58,1,18.41,clear sky
545,Vrangel',RU,42.7297,133.0839,50.9,77,99,2.86,overcast clouds
546,Eslöv,SE,55.8393,13.3039,49.68,83,86,15.39,overcast clouds
547,Porto Tolle,IT,44.9497,12.3245,52.11,68,87,13.06,overcast clouds
548,Novikovo,RU,51.1537,37.8879,54.23,82,100,13.82,overcast clouds
549,Mana,GF,5.6592,-53.7767,79.45,84,100,8.66,light rain
550,Berlevåg,NO,70.8578,29.0864,33.75,86,75,2.3,light rain
551,Agadez,NE,19.75,10.25,79.77,13,0,5.5,clear sky
552,Ola,RU,59.5833,151.2833,24.57,91,100,5.64,overcast clouds
553,Joutseno,FI,61.118,28.5076,40.78,95,100,15.39,overcast clouds
554,Khuzdar,PK,27.7384,66.6434,61.39,19,8,4.61,clear sky
555,Oddur,SO,4.1213,43.8894,76.86,67,98,13.06,overcast clouds
556,Mulegé,MX,26.8833,-111.9833,87.22,24,80,7.96,broken clouds
557,Temnikov,RU,54.6302,43.2148,49.15,80,100,18.23,overcast clouds
558,Xining,CN,36.6167,101.7667,27.82,72,98,6.82,overcast clouds
559,Apac,UG,1.9756,32.5386,65.12,93,12,1.01,light rain
560,Saint-Augustin,CA,51.226,-58.6502,35.55,45,19,9.26,few clouds
561,Departamento de Maldonado,UY,-34.6667,-54.9167,58.39,65,100,15.86,overcast clouds
562,Antalaha,MG,-14.9003,50.2788,70.84,90,9,4.38,clear sky
563,Mogadishu,SO,2.0371,45.3438,78.76,82,4,9.53,clear sky
564,Mānsa,IN,29.9833,75.3833,67.26,30,61,2.93,broken clouds
565,Coos Bay,US,43.3665,-124.2179,55.92,89,40,5.75,scattered clouds
566,Brandenburg,DE,52.4167,12.55,49.01,82,100,11.32,overcast clouds
567,Bud,US,39.447,-86.1758,53.67,42,0,5.17,clear sky
568,Māngrol,IN,21.1167,70.1167,80.71,61,91,5.48,overcast clouds
569,Tupanciretã,BR,-29.0806,-53.8358,77.5,66,57,12.73,light rain
570,Soyo,AO,-6.1349,12.3689,78.31,84,85,9.64,overcast clouds
571,Sundsvall,SE,62.3913,17.3063,38.97,80,75,2.3,broken clouds
572,Pyu,MM,18.4833,96.4333,72.64,97,81,3.94,broken clouds
573,Claremore,US,36.3126,-95.6161,62.11,64,58,3.0,broken clouds
574,Ridgecrest,US,35.6225,-117.6709,78.69,22,1,1.01,clear sky
575,Coquimbo,CL,-29.9533,-71.3436,60.53,67,40,10.36,scattered clouds
576,Lafia,NG,8.4833,8.5167,81.37,71,9,4.34,clear sky
577,Kohima,IN,25.6667,94.1167,52.02,86,89,2.86,overcast clouds
578,Bereket,TM,39.2446,55.5154,37.13,22,68,17.25,broken clouds
579,Bahía de Caráquez,EC,-0.6,-80.4167,75.38,76,99,11.48,overcast clouds
580,Kirkwall,GB,58.9848,-2.9587,50.05,88,40,18.41,scattered clouds
581,Casablanca,MA,33.5928,-7.6192,62.33,45,0,13.0,clear sky
582,Raymond,US,43.9015,-70.4703,48.25,42,48,5.48,scattered clouds
583,Kisangani,CD,0.5167,25.2,72.36,87,58,1.79,broken clouds
584,Ankang,CN,32.68,109.0172,61.56,85,100,2.62,overcast clouds
585,Panguna,PG,-6.3164,155.4848,67.78,88,65,2.39,broken clouds
586,Şuraabad,AZ,40.8192,49.4687,39.38,51,2,6.42,clear sky
587,União,BR,-4.5858,-42.8642,89.62,48,100,1.28,overcast clouds
588,Muros,ES,42.7762,-9.0603,54.23,88,13,9.33,few clouds
589,Douglas,US,41.3,-96.167,64.74,51,1,11.01,clear sky
590,Pacora,PA,9.0833,-79.2833,87.17,70,40,10.36,scattered clouds
591,Ivolginsk,RU,51.7492,107.2837,1.06,78,20,2.24,few clouds
592,Tūkrah,LY,32.5341,20.5791,77.16,42,80,4.12,broken clouds
593,Mujiayingzi,CN,42.1167,118.7833,37.51,51,83,8.81,broken clouds
594,Weligama,LK,5.9667,80.4167,76.93,88,89,8.46,overcast clouds
595,Eydhafushi,MV,5.1033,73.0708,81.82,79,100,14.72,overcast clouds
596,Sivaki,RU,52.6333,126.75,17.51,41,1,13.76,clear sky
597,Suez,EG,29.9737,32.5263,69.24,87,0,10.94,clear sky
598,Kidal,ML,18.4411,1.4078,86.79,15,1,5.7,clear sky
599,Hīt,IQ,33.6416,42.8251,72.39,34,0,14.63,clear sky
600,Almaznyy,RU,48.0448,40.045,48.34,88,57,8.57,broken clouds
601,Camacupa,AO,-12.0167,17.4833,64.29,81,9,0.89,clear sky
602,Bayir,TR,37.2687,28.2167,55.92,59,99,3.62,overcast clouds
603,Pisco,PE,-13.7,-76.2167,69.85,64,0,18.41,clear sky
604,Aksarka,RU,66.5606,67.7975,22.23,99,100,5.91,overcast clouds
605,Wucheng,CN,29.6008,118.175,62.78,99,77,1.16,broken clouds
606,Pangody,RU,65.85,74.4859,9.97,95,12,4.9,few clouds
607,Berdigestyakh,RU,62.0989,126.6992,3.4,91,100,9.66,overcast clouds
608,Arona,ES,28.0996,-16.681,64.33,62,40,21.85,scattered clouds
609,Tautira,PF,-17.7333,-149.15,84.22,74,100,6.55,overcast clouds
610,Usinsk,RU,65.9939,57.5281,34.39,100,100,16.26,light rain
611,Banepā,NP,27.6298,85.5214,52.12,94,20,2.3,few clouds
612,Goundam,ML,16.4145,-3.6708,92.57,14,48,6.33,scattered clouds
613,Hanting,CN,36.7708,119.2108,57.92,79,99,5.39,light rain
614,Thabazimbi,ZA,-24.5917,27.4116,75.11,46,60,3.69,broken clouds
615,Acapulco de Juárez,MX,16.8634,-99.8901,87.62,66,40,9.22,scattered clouds
616,Alofi,NU,-19.0595,-169.9187,80.49,65,75,12.66,broken clouds
617,Schwaigern,DE,49.1439,9.055,45.99,87,87,1.43,overcast clouds
618,Krasnosel'kup,RU,65.7,82.4667,5.11,100,78,5.93,broken clouds
619,Fallon,US,39.4735,-118.7774,65.91,23,75,3.44,broken clouds
620,Djebeniana,TN,35.035,10.9081,69.6,76,100,11.74,overcast clouds
621,Salta,AR,-24.7859,-65.4117,54.19,92,90,4.0,light intensity drizzle
622,Poperinge,BE,50.8549,2.6875,44.62,85,11,7.43,few clouds
623,Ngunguru,NZ,-35.6167,174.5,63.16,93,70,8.59,broken clouds
624,Kodino,RU,63.7198,39.6447,45.01,90,100,10.78,overcast clouds
625,Alyangula,AU,-13.8483,136.4192,81.45,74,20,6.2,few clouds
626,Tianpeng,CN,30.9866,103.9393,59.47,80,100,4.12,overcast clouds
627,Ouésso,CG,1.6136,16.0517,71.49,96,89,2.1,light rain
628,Pahrump,US,36.2083,-115.9839,79.25,21,0,6.89,clear sky
629,Ushibukamachi,JP,32.1906,130.0228,64.09,66,100,7.45,light rain
630,Khāchrod,IN,23.4167,75.2833,65.52,38,98,5.82,overcast clouds
631,Vung Tau,VN,10.346,107.0843,79.5,85,26,10.71,scattered clouds
632,Forsytheganj,BY,52.6333,29.7333,48.4,66,100,10.56,overcast clouds
633,Riberalta,BO,-10.9833,-66.1,80.8,83,75,9.22,light rain
634,Warkworth,NZ,-36.4,174.6667,65.98,89,16,5.88,few clouds
635,Vilyuysk,RU,63.7553,121.6247,9.07,93,100,12.5,light snow
636,Mont-Dore,NC,-22.2833,166.5833,73.0,99,100,5.91,overcast clouds
637,Nanortalik,GL,60.1432,-45.2371,33.4,79,99,7.63,light snow
638,Kavaratti,IN,10.5669,72.642,81.81,79,93,13.11,light rain
639,Altagracia de Orituco,VE,9.8601,-66.3814,87.46,45,95,5.75,overcast clouds
640,Rio Verde de Mato Grosso,BR,-18.9181,-54.8442,88.14,50,34,4.32,scattered clouds
641,Rawson,AR,-43.3002,-65.1023,58.82,45,0,12.62,clear sky
642,Chenghai,CN,23.4632,116.768,71.51,100,2,0.0,mist
643,Annau,TM,37.8876,58.516,39.99,26,45,3.44,scattered clouds
644,Takhtamygda,RU,54.1,123.5667,9.64,61,6,2.04,clear sky
645,Pullman,US,46.7313,-117.1796,52.39,71,90,1.99,overcast clouds
646,Prachuap Khiri Khan,TH,12.2167,99.75,71.47,93,91,2.37,overcast clouds
647,Praia,CV,14.9215,-23.5087,77.54,78,20,13.8,few clouds
648,Bilibino,RU,68.0546,166.4372,-16.44,100,82,3.96,broken clouds
649,Ritchie,ZA,-29.038,24.6028,69.01,12,100,12.64,overcast clouds
650,Malinovskiy,RU,61.1953,62.8397,36.28,97,97,9.4,overcast clouds
651,Gambēla,ET,8.25,34.5833,72.45,84,58,3.83,broken clouds
652,Hambantota,LK,6.1241,81.1185,78.33,83,98,10.78,light rain
653,Rehoboth,NA,-23.3167,17.0833,75.42,14,5,10.18,clear sky
654,Carutapera,BR,-1.195,-46.02,82.4,72,100,6.96,overcast clouds
655,Sawang Daen Din,TH,17.4753,103.4575,76.03,99,47,2.62,scattered clouds
656,Ust'-Ilimsk,RU,58.0006,102.6619,15.73,81,100,13.35,overcast clouds
657,Grootegast,NL,53.2125,6.2736,49.98,81,96,1.99,overcast clouds
658,Basco,PH,20.4487,121.9702,81.68,81,99,19.91,overcast clouds
659,Saraland,US,30.8207,-88.0706,69.8,48,18,7.9,few clouds
660,Kichmengskiy Gorodok,RU,59.9816,45.7854,45.88,88,100,14.2,overcast clouds
661,Svetlaya,RU,46.5389,138.3297,40.75,69,53,3.83,broken clouds
662,Nara,JP,34.6851,135.8049,54.68,73,1,1.03,clear sky
